
==========Welcome to the Peg Solirtaire Simulator==========
              2026 AI 801 Section 001: Group 5

SHALL WE PLAY A GAME?
1. Simulate Peg Solitaire
2. Simulate Peg Duotaire
3. Run Test Bench
4. User Plays Peg Duotaire
5. Launch GUI
Your choice: Running Test Bench...
Select test type: 
1. Compare Performance of Search Algorithms
2. Compare Performance of Game Algorithms
3. Compare Performance of Dict and Bitmask Data Structures
4. Compare Performance of Different Direction Orders

depth_first_bfs on Triangle board
   1.87 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southeast', 'Northeast', 'Northwest', 'Southwest']
   1.82 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southeast', 'Northwest', 'Southwest', 'Northeast']
   1.82 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southeast', 'Northwest', 'Northeast', 'Southwest']
   1.84 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southwest', 'Southeast', 'Northeast', 'Northwest']
   1.85 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southwest', 'Southeast', 'Northwest', 'Northeast']
   1.83 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southwest', 'Northeast', 'Southeast', 'Northwest']
   1.85 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southwest', 'Northeast', 'Northwest', 'Southeast']
   1.84 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southwest', 'Northwest', 'Southeast', 'Northeast']
   1.85 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southwest', 'Northwest', 'Northeast', 'Southeast']
   1.82 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northeast', 'Southeast', 'Southwest', 'Northwest']
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northeast', 'Southeast', 'Northwest', 'Southwest']
   1.83 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northeast', 'Southwest', 'Southeast', 'Northwest']
   1.83 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northeast', 'Southwest', 'Northwest', 'Southeast']
   1.84 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northeast', 'Northwest', 'Southeast', 'Southwest']
   1.87 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northeast', 'Northwest', 'Southwest', 'Southeast']
   1.87 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northwest', 'Southeast', 'Southwest', 'Northeast']
   1.85 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northwest', 'Southeast', 'Northeast', 'Southwest']
